Brand,Description,UPC,"Cases 
On Hand","Items
 Case/Unit",Size,Amount Taken,Date Taken,Our Cost
Lays,Ketchup Flavor,*6251044000769,0,12,82 g,,,
Long Leggies,Marshmallow Twist Assorted,850075808571,0,30 Packs,110 g,,,
Maggi,Halal Chicken Flavored Bouillon,28000088057,0,24,21 g,,,
Mandelin,Slivered Almonds Blanched (Bulk),899177000377,6,1,25 LB,,,
Mandi,Premium Indian Basmati Rice,6253503249122,1,4,10 LB,,,
Mister Potato,Hot Paprika Flavor,6253001324093,2,50,35 g,,,
Mister Potato,Mango and Chili Flavor,6253001324109,2,50,35 g,,,
Mister Potato,Chili and Lemon Flavor,6253001324161,2,50,35 g,,,
Mister Potato,Original Flavor,6253001324147,2,50,35 g,,,
Molto,Chili & Lemon,*6253001323904,1,16,160 g,,,
Molto,Ketchup,*6253001323898,1,16,160 g,,,
Morrocan,Oil Cured Olives,703669331323,3,4,10 LB,,,
Mr Nut,Premium Black Roasted Salted Sunflower Seeds,603608719819,2,12,10 oz,,,
Nafeeseh Sweets,Barazeq,*6253502975428,1,10,300 g,,,
Nafeeseh Sweets,Ghraybeh,*6253502975398,1,10,300 g,,,
Nature Garden,Mango Juice Nectar,822514517108,15,6,2.1 L,,,
Nido,Milk Powder,8717896006116,8,24,400 g,,,
Nido,Milk Powder,8717896006123,5,12,900 g,,,
Oman Sohar,Assorted Chips,9501100019370,1,8 packs X 20 bags,15 g,,,
Puck,Puck Cream,15711953139885,0,48,5.6 oz,,,
Pufak,Peanut Puff Corn,6253001321023,6,24,60 g,,,
Rich,Chocolate Pie Original Flavor,8936152699811,0,8 Boxes X12 Packs,10.58 oz,,,
Rich Cheese,Cheese,*6253001323959,2,20,100 g,,,
Rich Tomato,AlBandoura,*6253001321726,3,20,100 g,,,
Roma,Shelled Wheat,10850053231336,2,12,2 LB,,,
Roma,Cinnamon Sticks,639235107118,0,12,3 oz,,,
Roma,Turmeric Powder,639235107286,1,12,7 oz,,,
Roma,Hawaji Somali,639235107477,1,12,6 oz,,,
Roma,All Purpose Seasoning,639235107569,1,12,14 oz,,,
Roma,Ground Black Pepper,639235107187,1,12,6 oz,,,
Roma,Seven Spice,639235107194,0,12,7 oz,,,
Roma,Ginger Powder,639235107156,3,12,6 oz,,,
Roma,Gound Coriander,639235107217,0,12,6 oz,,,
Roma,Lemon Pepper,639235107705,0,12,13 oz,,,
Roma,Sumac,639235107170,0,12,7 oz,,,
Roma,Chili Powder,639235107408,0,12,7 oz,,,
Roma,Goat Meat Masala,840205762156,1,24,7.05 oz,,,
Roma,Tandoori Masala,840205762149,1,24,7.05 oz,,,
Roma,Chicken Stock,839762003413,3,10,1 KG,,,
Royal Chef,Vermicelli,822514279235,41,20,1 LB,,,
Safeya,Face Mask,6202026969222,1,24,7 oz,,,
Safeya ,Black Soap w/Prickly Pear,6202026970655,1,36,7.05 oz,,,
Sahtein,White Vinegar,6267598,9,6,1 GAL,,,
Salad Chips,Salad Potato Chips,9501100014658,1,16,75 g,,,
Salad Chips,Salad Potato Chips,9501100018359,1,4 bags X 20 Packs,75 g,,,
Samar Snacks,Paprika Flavor,*6251041220047,1,24,40 g,,,
Samar Snacks,Barbecue Flavor,*6251041220078,1,24,40 g,,,
Samar Snacks,Chili Flavor,*6251041220030,1,30,40 g,,,
Samyang,Carbonara Buldak Spicy Ramen Chicken Flavor,18801073123622,0,8,130 g,,,
Santa Lucia,Farfalle,10085164121744,1,20,1 LB,,,
Santa Lucia,Chifferini,10085164120747,5,20,1 LB,,,
Santa Lucia,Penne Rigate,10085764120303,4,20,1LB,,,
Schweppes,Tangerine Drink,54023888,0,12,12 mg,,,
Shahia,Whole Fava Beans,,1,1,50 LB,,,
Shahzada,Extra Long Grain Basmati Sela Rice,864485000107,7,4,10 LB,,,
Shahzada,Supreme Basmati Rice,8964001754473,3,4,10 LB,,,
Shan,Ginger Garlic Paste,5000077821,25,6,700 g,,,
Shan,Himalayan Basmati Rice,,0,4,10 LB,,,
Shani,Fruit Flavor Drink,12000800368,65,24,300 ml,,,
Soccer Kids,Assorted Fruit Jellies Juicy Chew,850072696768,0,6,1190 g,,,
Soccer Kids,Assorted Fruit Jellies Juicy Chew,850072696782,0,6,1190 g,,,
Sohar Chips,Potato Chips,9501100018557,7,6,100 g,,,
Sohar Chips,Potato Chips (Family Size),9501100018342,3,2 packs X 24 bags,15 g,,,
Sultan,100% Extra Virgin Olive Oil,74265002475,39,6,1 Gal,,,
Sultan,100% Extra Virgin Koura Olive Oil,74265023357,33,4,3 QT/2.85 L,,,
Sultan,Instant GingerTea,6111069015554,1,24,90 g,,,
